check,parameter,value
free_soliton_defect,A=0.05,0.07738287570680423
free_soliton_defect,A=0.2,0.3095315028272169
free_soliton_defect,A=0.8,1.2381260113088677
wadati_symbolic_residual,-,0.0
family_exists_V_minus_g2,residual,1.80954719356726e-13
family_fails_V_plus_g2,A_at_failure,0.024999999999999998
branch_power_balance,omega=-0.30,1.1723955140041782e-15
branch_power_balance,omega=-0.26,1.5762206354945062e-14
branch_power_balance,omega=-0.24,3.321787289678505e-15
branch_power_balance,omega=-0.22,2.0907719999741178e-14
branch_power_balance,omega=-0.20,1.1951920934431483e-14
branch_power_balance,omega=-0.18,-1.1984487476487155e-14
