omega,P,Q,Im_Q_over_absQ,max_Im_lambda,Re_lambda,K_mode
-0.48,2.750354822431446,0.27221898811263273,1.809458451106383e-13,0.04328783291642508,0.4664441176501574,277.6337650564812
-0.46,2.714072608675013,0.30826258321936334,1.0096344421246575e-13,0.042405437536300467,-0.4444310605200908,288.7502080339983
-0.44,2.678259212251464,0.3452233125120029,1.3013902432096889e-13,0.04128087068688674,-0.4219224103805582,305.70128754863657
-0.42,2.6430407461838463,0.3831263737528961,1.4006026000746962e-14,0.03980213162192955,0.3988449067912272,332.46144363842086
-0.4,2.608569126577842,0.4219785029521844,1.013809793222348e-13,0.037772201587293816,0.3750948098490906,377.2412358538003
-0.38,2.575025839074426,0.4617522359270051,-2.403568112789975e-13,0.034823860313879296,-0.35052079686013116,459.95121130223106
-0.36,2.5426232428689173,0.5023580602855492,-1.2707634048841658e-13,0.030177652629178688,-0.3248947581690699,645.3699023449624
-0.34,2.5115979333736593,0.5435941474330159,-6.290514590698147e-14,0.0215887878094329,-0.297856539122681,1345.1631222635042
-0.32,2.482182070076737,0.5850535630581571,9.734910572215315e-14,1.8032477141418014e-07,9.40038371209123e-08,367670286613323.44
-0.3,2.4545165289794495,0.6259496877758212,4.3040858698992074e-14,1.7064643507225844e-07,1.1646546005057115e-07,169931581424946.56
-0.28,2.428414410056767,0.6647873231814827,2.367006778505957e-13,4.758341831523445e-07,-1.209816942623453e-07,102751417647526.12
-0.26,2.402760782310917,0.6987777821534856,5.968618258471052e-14,0.004068589057473563,2.903263949958145e-09,972184195930.1041
-0.24,2.3741916478043033,0.7230396990413186,6.827829402330573e-14,0.13067899495887111,7.22887515814523e-14,848.8431347763434
-0.22,2.335257293163593,0.7305611820078478,2.8266144939803588e-14,0.1771096791299744,1.3473421808117016e-13,129.95788298383044
-0.2,2.2752496204102033,0.7154655344668435,2.1419310567716626e-13,0.20353646833012282,2.2561844059886754e-13,48.81919083943761
-0.18,2.187079175781812,0.6782973214163388,-7.032695120352401e-14,0.21521645662603317,6.60705644026504e-14,27.099199823594358
-0.16,2.07166335218429,0.625015441079754,2.3891409235284835e-13,0.21531076959270168,3.361714999815033e-14,18.792826282151925
-0.14,1.933561022903516,0.5615142795388084,-5.0352556869986813e-14,0.20623343769967645,-2.897856218719974e-14,15.088986953224676
