omega,Lx,N,P,Q,Im_lambda,Re_lambda,K_mode,corA_residual
-0.3,18.0,220,2.454516843865735,0.6259490231905831,2.200540220649515e-07,-9.785376012757579e-08,168042887154373.7,1.9570752025515158e-07
-0.3,22.0,260,2.4545164876840393,0.6259497697575466,9.575470938274538e-08,9.160613973593606e-08,269392902491654.28,1.8321227947187212e-07
-0.3,22.0,320,2.4545164876848298,0.6259497697587819,9.024014223794023e-08,-1.703633615224223e-07,120009944136838.06,1.804795664619103e-07
-0.26,18.0,220,2.4027617720795984,0.6987752298749563,0.004456032917429337,-2.8374554167679304e-09,562884293796.1089,4.037419361988365e-06
-0.26,22.0,260,2.402760626970244,0.6987781465876304,0.004003219507443718,4.9834698973332805e-09,1071570907697.976,5.078275186152086e-06
-0.26,22.0,320,2.4027606269701236,0.6987781465873775,0.004003227167438393,6.07557945151453e-10,1071558828621.99,1.584512568592452e-06
-0.24,18.0,220,2.374193380696796,0.7230344928060493,0.1306819926548467,-7.310534115452532e-14,848.6145654568351,8.355691423757603e-08
-0.24,22.0,260,2.3741913451905687,0.7230405021773572,0.13067867059252203,2.7895535248017495e-14,848.8690259058075,6.780488799925519e-08
-0.24,22.0,320,2.374191345190324,0.7230405021770945,0.13067867059212807,2.2771739398190148e-14,848.8690259413675,6.886592685133622e-08
-0.22,18.0,220,2.335260335625722,0.7305504714687976,0.17711099625591153,5.448743833437598e-15,129.95227158642098,3.4351015449137006e-08
-0.22,22.0,260,2.335256694719224,0.7305629745555696,0.17710944588074626,4.715250429430228e-15,129.95836679892028,1.9583240528898024e-07
-0.22,22.0,320,2.3352566947192948,0.7305629745562509,0.17710944588039745,5.5422046317311615e-14,129.95836680086074,3.875170963119905e-08
-0.2,18.0,220,2.275255357440268,0.7154438308458041,0.2035381659483491,-1.2632710053024854e-14,48.81803629183982,1.7824948311734183e-08
-0.2,22.0,260,2.2752483545787596,0.7154694965939132,0.20353610346514137,1.4450549598046258e-15,48.81954230807054,1.2493579548883968e-07
-0.2,22.0,320,2.275248354577476,0.7154694965918883,0.20353610346497328,-2.3573014041561084e-14,48.819542308140825,1.5236554345685118e-07
-0.18,18.0,220,2.187091381867231,0.6782542944434997,0.21521885894787038,1.3526138729637796e-14,27.098060588435004,5.480775791443895e-08
-0.18,22.0,260,2.187076218500048,0.6783059368140373,0.21521592022043637,-4.689156181810646e-15,27.09961487908388,3.7864924837167004e-09
-0.18,22.0,320,2.187076218500573,0.6783059368140386,0.2152159202204549,-5.5773127511459044e-14,27.099614879033624,1.3809826785661748e-07
